carrier_name,total_flights,delayed_flights,average_delay_rate,total_delay_minutes,on_time_flights,otp
GoJet Airlines LLC d/b/a United Express,86464.0,24607.0,28.309070547174343,2591018.0,61857.0,71.54075684678017
Frontier Airlines,217350.0,59646.0,24.923618781449605,5063738.0,157704.0,72.5576259489303
JetBlue Airways,252476.0,67166.0,26.052218089782563,5051995.0,185310.0,73.3970753655793
PSA Airlines Inc.,264741.0,67551.0,25.85037785137822,6306644.0,197190.0,74.48411844028692
American Airlines Network,1064896.0,269479.0,29.127422087765687,22668739.0,795417.0,74.69433634833824
Allegiant Air,139718.0,34939.0,21.54564273276658,2965630.0,104779.0,74.99320058975937
Spirit Airlines,187759.0,46441.0,23.808954691669737,3490339.0,141318.0,75.26563307218296
Endeavor Air Inc.,268074.0,59561.0,23.198409037300795,5005649.0,208513.0,77.78188112237666
Alaska Airlines Network,297649.0,65544.0,21.022347601350283,3404868.0,232105.0,77.97943214994842
Southwest Airlines,1508844.0,332008.0,22.477405304258934,18347098.0,1176836.0,77.99586968566665
Republic Airline,383958.0,82367.0,21.864720818425603,5962854.0,301591.0,78.54791409477079
United Air Lines Network,872437.0,182764.0,22.529037203036186,13402187.0,689673.0,79.05132404975946
SkyWest Airlines Inc.,919201.0,188322.0,21.807594340060735,16513760.0,730879.0,79.51242437725807
Envoy Air,334135.0,67545.0,19.510245602954736,4369054.0,266590.0,79.78511679411017
Delta Air Lines Network,1121609.0,213330.0,20.314998468979184,15358910.0,908279.0,80.98000283521263
CommuteAir LLC dba CommuteAir,89040.0,16268.0,19.344499269144755,1598746.0,72772.0,81.72955974842768
Hawaiian Airlines Network,60570.0,10639.0,23.49956808453675,557590.0,49931.0,82.4351989433713
Piedmont Airlines,164223.0,28807.0,18.167058392722968,2450289.0,135416.0,82.4586081121402
Mesa Airlines Inc.,82848.0,13982.0,17.096218404674723,1148821.0,68866.0,83.1233101583623
Horizon Air,104901.0,16906.0,14.658845621308563,862913.0,87995.0,83.88385239416212
